what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1407144849953
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1407144849953
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1407144849953
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1407144849953
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1407144849953
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1407144849953
started,bundle,org.eclipse.equinox.p2.core,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.core",1407144849953
started,bundle,org.eclipse.equinox.p2.engine,2.1.1.R37x_v20111003,"org.eclipse.equinox.p2.engine",1407144849953
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110815-1419,"org.eclipse.equinox.p2.metadata",1407144849953
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1407144849953
started,bundle,org.eclipse.equinox.p2.operations,2.1.1.R37x_v20111111,"org.eclipse.equinox.p2.operations",1407144849953
started,bundle,org.eclipse.equinox.p2.repository,2.1.1.v20120113-1346,"org.eclipse.equinox.p2.repository",1407144849953
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1407144849953
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1407144849953
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1407144849953
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1407144849953
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1407144849953
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1407144849969
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1407144849985
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1407144849985
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1407144849985
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1407144849985
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1407144849985
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1407144849985
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1407144849985
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1407144849985
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1407144849985
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1407144849985
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1407144849985
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1407144849985
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1407144849985
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1407144849985
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1407144849985
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1407144849985
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1407144849985
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1407144849985
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1407144849985
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1407144849985
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1407144849985
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1407144850000
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1407144850000
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1407144850000
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1407144850000
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1407144850000
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1407144850000
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1407144850000
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1407144850000
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1407144850000
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1407144850000
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1407144850000
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1407144850000
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1407144850000
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1407144850000
os,sysinfo,,,"win32",1407144850000
arch,sysinfo,,,"x86",1407144850000
ws,sysinfo,,,"win32",1407144850000
locale,sysinfo,,,"en_US",1407144850000
processors,sysinfo,,,"4",1407144850000
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1407144850000
java.runtime.version,sysinfo,,,"1.7.0_55-b14",1407144850000
java.specification.name,sysinfo,,,"Java Platform API Specification",1407144850000
java.specification.vendor,sysinfo,,,"Oracle Corporation",1407144850000
java.specification.version,sysinfo,,,"1.7",1407144850000
java.vendor,sysinfo,,,"Oracle Corporation",1407144850000
java.version,sysinfo,,,"1.7.0_55",1407144850000
java.vm.info,sysinfo,,,"mixed mode, sharing",1407144850000
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1407144850000
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1407144850000
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1407144850000
java.vm.specification.version,sysinfo,,,"1.7",1407144850000
java.vm.vendor,sysinfo,,,"Oracle Corporation",1407144850000
java.vm.version,sysinfo,,,"24.55-b03",1407144850000
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407144858516
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407144878360
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1407144878360
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407144882766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407144891719
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1407144892797
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1407144893141
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1407144893141
stopped,bundle,com.cypress.cx3.doc,1.0.0.201312031725,"com.cypress.cx3.doc",1407144893250
stopped,bundle,com.cypress.cx3.ui,1.0.0.201312042334,"com.cypress.cx3.ui",1407144893250
stopped,bundle,com.cypress.cx3.model.edit,1.0.0.201312031725,"com.cypress.cx3.model.edit",1407144893250
stopped,bundle,com.cypress.cx3.model,1.0.0.201312031725,"com.cypress.cx3.model",1407144893250
stopped,bundle,com.cypress.fx2lp.doc,1.0.0.201312031725,"com.cypress.fx2lp.doc",1407144893250
stopped,bundle,com.cypress.fx3.cheatsheets,1.0.0.201312031725,"com.cypress.fx3.cheatsheets",1407144893250
stopped,bundle,com.cypress.fx3.doc,1.0.0.201312031725,"com.cypress.fx3.doc",1407144893250
stopped,bundle,com.cypress.fx3.hoverdoc,1.0.0.201312031725,"com.cypress.fx3.hoverdoc",1407144893250
stopped,bundle,com.cypress.fx3.product,1.0.0.201312031725,"com.cypress.fx3.product",1407144893266
stopped,bundle,com.cypress.fx3.sdccextn,1.0.0.201312031725,"com.cypress.fx3.sdccextn",1407144893266
stopped,bundle,com.cypress.fx3.templates,1.0.0.201312031725,"com.cypress.fx3.templates",1407144893266
stopped,bundle,com.cypress.fx3.ui,1.0.0.201312031725,"com.cypress.fx3.ui",1407144893266
stopped,bundle,net.sourceforge.eclipsesdcc,1.0.0,"net.sourceforge.eclipsesdcc",1407144893266
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.0.201109151620,"org.eclipse.cdt.build.crossgcc",1407144893266
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1407144893266
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1407144893266
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1407144893266
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1407144893266
stopped,bundle,org.eclipse.cdt.cross.arm.gnu,0.5.4.201202210114,"org.eclipse.cdt.cross.arm.gnu",1407144893266
stopped,bundle,com.zylin.embeddedcdt,4.18.1,"com.zylin.embeddedcdt",1407144893266
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1407144893266
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1407144893266
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.100.201109151620,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1407144893266
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.search",1407144893266
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1407144893266
stopped,bundle,org.eclipse.cdt.dsf.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.ui",1407144893282
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201202111925,"org.eclipse.cdt.gdb.ui",1407144893282
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1407144893282
stopped,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1407144893282
stopped,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1407144893282
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201109151620,"org.eclipse.cdt.debug.ui.memory.traditional",1407144893282
stopped,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1407144893282
stopped,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1407144893297
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.ui,1.0.1.201108301805,"org.eclipse.linuxtools.cdt.autotools.ui",1407144893297
stopped,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1407144893297
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.ui",1407144893297
stopped,bundle,org.eclipse.cdt.make.ui,7.1.2.201202111925,"org.eclipse.cdt.make.ui",1407144893297
